NOC,Year,Athletics,Balls,Combat,Shooting,Swimming,Cycling,Weightlifting,WaterSport,Others,Gymnastics,Diving
CAF,1992,11,0,3,0,0,7,0,0,0,0,0
CAF,1996,5,0,0,0,0,0,0,0,0,0,0
CAF,2000,2,0,0,1,0,0,0,0,0,0,0
CAF,2004,2,0,2,0,0,0,0,0,0,0,0
CAF,2008,2,0,1,0,0,0,0,0,0,0,0
CAF,2012,2,0,3,0,1,0,0,0,0,0,0
CAF,2016,2,0,2,0,2,0,0,0,0,0,0
CAF,2020,1,0,0,0,1,0,0,0,0,0,0
CAF,2024,1,0,1,0,2,0,0,0,0,0,0
CAM,1956,0,0,0,0,0,0,0,0,2,0,0
CAM,1964,0,0,4,0,0,8,0,3,0,0,0
CAM,1972,5,0,1,0,11,0,0,0,0,0,0
CAM,1996,2,0,1,0,2,0,0,0,0,0,0
CAM,2000,2,0,0,0,2,0,0,0,0,0,0
CAM,2004,2,0,0,0,2,0,0,0,0,0,0
CAM,2008,2,0,0,0,2,0,0,0,0,0,0
CAM,2012,2,0,2,0,2,0,0,0,0,0,0
CAM,2016,2,0,2,0,2,0,0,0,0,0,0
CAM,2020,1,0,0,0,2,0,0,0,0,0,0
CAM,2024,1,0,0,0,2,0,0,0,0,0,0
CAN,1900,7,0,0,0,0,0,0,0,0,0,0
CAN,1904,10,37,2,0,0,0,0,9,3,0,0
CAN,1906,4,0,0,0,0,0,0,0,0,0,0
CAN,1908,52,17,2,31,2,24,0,17,0,2,1
CAN,1912,39,0,0,3,2,2,0,10,1,0,3
CAN,1920,22,8,9,11,7,20,0,5,0,0,3
CAN,1924,40,0,14,9,3,2,0,15,0,0,0
CAN,1928,53,0,12,0,14,13,0,12,7,0,2
CAN,1932,45,0,24,0,30,14,0,29,45,0,4
CAN,1936,49,9,34,0,27,14,0,24,5,0,5
CAN,1948,45,14,34,0,23,14,5,26,25,0,2
CAN,1952,44,12,16,8,24,2,5,37,6,0,0
CAN,1956,36,12,12,9,17,8,3,31,7,12,3
CAN,1960,36,0,8,12,18,2,3,32,8,17,4
CAN,1964,26,25,17,10,46,0,3,33,2,26,6
CAN,1968,40,0,32,12,56,11,4,39,20,70,7
CAN,1972,34,11,36,18,86,15,4,47,27,54,12
CAN,1976,71,117,53,17,82,14,4,77,27,57,12
CAN,1984,83,107,55,22,76,17,7,90,21,86,8
CAN,1988,79,56,60,23,71,14,3,79,24,86,8
CAN,1992,64,47,59,22,68,16,2,76,24,59,8
CAN,1996,47,62,49,16,60,18,2,77,34,37,6
CAN,2000,45,88,25,17,83,20,2,61,29,41,11
CAN,2004,25,35,28,6,56,16,2,67,65,77,14
CAN,2008,33,62,31,13,77,19,5,75,72,50,12
CAN,2012,46,52,28,5,71,20,3,52,31,32,14
CAN,2016,78,76,24,5,63,27,2,51,41,27,11
CAN,2020,69,99,33,6,75,36,5,68,72,33,13
CAN,2024,65,99,48,8,88,50,2,42,50,77,9
CAY,1976,0,0,0,0,0,0,0,2,0,0,0
CAY,1984,0,0,0,0,0,12,0,2,0,0,0
CAY,1988,2,0,0,0,0,10,0,0,0,0,0
CAY,1992,2,0,0,0,0,8,0,3,0,0,0
CAY,1996,1,0,0,0,0,1,0,7,0,0,0
CAY,2000,3,0,0,0,0,0,0,1,0,0,0
CAY,2004,3,0,0,0,5,0,0,0,0,0,0
CAY,2008,2,0,0,0,4,0,0,0,0,0,0
CAY,2012,2,0,0,0,5,0,0,0,0,0,0
CAY,2016,2,0,0,0,2,0,0,1,0,0,0
CAY,2020,2,0,0,0,2,0,0,0,0,5,0
CAY,2024,1,0,0,0,3,0,0,1,0,0,0
CGO,1964,2,0,0,0,0,0,0,0,0,0,0
CGO,1972,8,0,0,0,0,0,0,0,0,0,0
CGO,1980,8,14,3,0,0,0,0,0,0,0,0
CGO,1984,10,0,3,0,0,0,0,0,0,0,0
CGO,1988,10,0,0,0,0,0,0,0,0,0,0
CGO,1992,9,0,0,0,1,0,0,0,0,0,0
CGO,1996,2,0,1,0,2,0,0,0,0,0,0
CGO,2000,2,0,1,0,2,0,0,0,0,0,0
CGO,2004,1,0,2,0,2,0,0,0,0,0,0
CGO,2008,2,2,0,0,1,0,0,0,0,0,0
CGO,2012,2,3,0,0,2,0,0,0,0,0,0
CGO,2016,2,3,3,0,2,0,0,0,0,0,0
CGO,2020,2,0,0,0,1,0,0,0,0,0,0
CGO,2024,1,1,0,0,2,0,0,0,0,0,0
CHA,1964,2,0,0,0,0,0,0,0,0,0,0
CHA,1968,4,0,0,0,0,0,0,0,0,0,0
CHA,1972,4,0,1,0,0,0,0,0,0,0,0
CHA,1984,3,0,0,0,0,0,0,0,0,0,0
CHA,1988,6,0,0,0,0,0,0,0,0,0,0
CHA,1992,5,0,2,0,0,0,0,0,0,0,0
CHA,1996,4,0,0,0,0,0,0,0,0,0,0
CHA,2000,3,0,0,0,0,0,0,0,0,0,0
CHA,2004,1,0,0,0,0,0,0,0,0,0,0
CHA,2008,2,0,0,0,0,0,0,0,0,0,0
CHA,2012,1,0,1,0,0,0,0,0,0,0,0
CHA,2016,2,0,0,0,0,0,0,0,0,0,0
CHA,2020,1,0,1,1,0,0,0,0,0,0,0
CHA,2024,1,0,1,1,0,0,0,0,0,0,0
CHI,1912,10,0,0,8,0,8,0,0,2,0,0
CHI,1920,2,0,0,0,0,0,0,0,0,0,0
CHI,1924,3,4,5,0,0,6,0,0,0,0,0
CHI,1928,10,11,15,0,4,6,0,0,0,0,0
CHI,1936,10,7,22,3,4,9,0,1,0,0,0
CHI,1948,24,20,10,6,0,9,0,0,2,0,1
CHI,1952,19,24,0,3,1,10,0,1,24,0,0
CHI,1956,10,11,3,4,0,3,0,3,6,0,3
CHI,1960,4,0,3,2,0,0,0,0,0,0,0
CHI,1964,4,0,7,3,0,0,0,0,2,0,0
CHI,1968,9,0,6,4,0,0,0,0,6,0,0
CHI,1972,2,0,3,2,0,0,0,1,5,0,0
CHI,1976,2,0,1,3,0,3,0,0,0,0,0
CHI,1984,10,14,1,4,0,12,0,16,7,0,0
CHI,1988,6,5,0,1,0,0,0,5,6,0,0
CHI,1992,3,6,1,2,0,2,0,1,0,0,0
CHI,1996,4,8,2,1,2,5,1,1,0,0,0
CHI,2000,8,29,3,4,3,2,0,6,3,0,0
CHI,2004,3,10,2,1,6,3,0,4,0,0,0
CHI,2008,6,4,2,1,3,5,1,4,3,0,0
CHI,2012,8,1,5,2,2,3,2,4,11,6,0
CHI,2016,10,4,2,2,3,2,2,13,3,6,0
CHI,2020,3,26,3,2,3,3,2,6,9,6,0
CHI,2024,9,10,7,3,3,4,0,10,6,0,0
CHN,1932,2,0,0,0,0,0,0,0,0,0,0
CHN,1936,32,24,2,0,3,1,3,0,0,0,0
CHN,1948,5,21,0,0,1,1,0,0,5,0,0
CHN,1952,0,0,0,0,1,0,0,0,0,0,0
CHN,1984,24,70,44,26,31,7,10,17,0,86,8
CHN,1988,55,86,42,39,60,11,10,29,1,86,8
CHN,1992,38,68,46,38,47,10,10,42,1,86,8
CHN,1996,36,102,34,42,56,6,10,31,15,98,8
CHN,2000,32,94,48,38,60,4,10,18,19,75,16
CHN,2004,55,124,57,37,69,6,10,43,20,81,16
CHN,2008,69,222,76,40,76,16,10,76,56,73,16
CHN,2012,52,104,52,37,88,16,10,48,6,50,16
CHN,2016,57,117,55,37,86,18,10,37,11,55,16
CHN,2020,59,121,53,45,77,14,8,68,43,70,16
CHN,2024,59,105,56,47,97,24,6,54,39,84,16
CIV,1964,7,0,3,0,0,0,0,0,0,0,0
CIV,1968,8,0,0,0,0,0,0,3,0,0,0
CIV,1972,8,0,0,0,0,0,0,5,0,0,0
CIV,1976,11,0,0,0,0,0,0,0,0,0,0
CIV,1984,9,0,5,0,0,0,0,4,0,0,0
CIV,1988,10,15,2,0,0,0,0,2,0,0,0
CIV,1992,14,0,2,0,0,0,0,2,0,0,0
CIV,1996,7,2,2,0,0,0,0,2,0,0,0
CIV,2000,12,0,5,0,1,0,0,0,0,0,0
CIV,2004,2,0,1,0,2,0,0,0,0,0,0
CIV,2008,1,16,2,0,1,0,0,2,0,0,0
CIV,2012,4,0,3,1,2,0,0,0,0,0,0
CIV,2016,7,0,5,1,2,0,0,0,0,0,0
CIV,2020,4,21,5,0,1,0,0,1,0,0,0
CIV,2024,12,0,6,0,0,0,0,0,0,0,0
CMR,1964,2,0,0,0,0,0,0,0,0,0,0
CMR,1968,1,0,4,0,0,0,0,0,0,0,0
CMR,1972,7,0,3,0,0,8,0,0,0,0,0
CMR,1976,0,0,0,0,0,4,0,0,0,0,0
CMR,1980,6,0,15,0,0,8,0,0,0,0,0
CMR,1984,16,15,17,0,0,8,0,0,0,0,0
CMR,1988,8,0,11,0,0,0,2,0,0,0,0
CMR,1992,11,0,0,0,0,0,1,0,0,0,0
CMR,1996,12,0,6,0,0,0,1,0,0,0,0
CMR,2000,16,18,5,0,0,0,0,0,0,0,0
CMR,2004,9,0,7,0,1,0,2,0,0,0,0
CMR,2008,5,18,5,0,2,0,1,1,0,0,0
CMR,2012,2,18,7,0,2,0,2,1,0,0,0
CMR,2016,2,10,8,0,0,0,2,0,0,0,0
CMR,2020,1,1,6,0,2,0,2,0,0,0,0
CMR,2024,2,1,1,0,2,0,0,0,0,0,0
COD,1968,0,0,0,0,0,8,0,0,0,0,0
COD,1984,3,0,6,0,0,0,0,0,0,0,0
COD,1988,9,0,5,0,0,7,0,0,0,0,0
COD,1992,9,0,7,0,0,3,0,0,0,0,0
COD,1996,2,12,0,0,0,0,0,0,0,0,0
COD,2000,3,0,0,0,0,0,0,0,0,0,0
COD,2004,2,4,0,0,0,0,0,0,0,0,0
COD,2008,2,0,2,0,1,0,0,0,0,0,0
COD,2012,2,0,2,0,0,0,0,0,0,0,0
COD,2016,2,0,2,0,0,0,0,0,0,0,0
COD,2020,1,0,6,0,0,0,0,0,0,0,0
COD,2024,1,0,3,0,2,0,0,0,0,0,0
COK,1988,3,0,3,0,0,0,2,0,0,0,0
COK,1992,1,0,0,0,0,0,1,0,0,0,0
COK,1996,1,0,0,0,0,0,1,1,0,0,0
COK,2000,1,0,0,0,0,0,0,1,0,0,0
COK,2004,2,0,0,0,0,0,1,0,0,0,0
COK,2008,2,0,0,0,1,0,1,0,0,0,0
COK,2012,2,0,0,0,2,0,1,4,0,0,0
COK,2016,2,0,0,0,2,0,1,4,0,0,0
COK,2020,1,0,0,0,3,0,0,5,0,0,0
COK,2024,1,0,0,0,1,0,0,0,0,0,0
COL,1900,0,0,0,0,0,0,0,0,1,0,0
COL,1932,1,0,0,0,0,0,0,0,1,0,0
COL,1936,6,0,0,0,0,0,0,0,0,0,0
COL,1948,4,0,3,0,4,0,0,0,0,0,0
COL,1956,7,0,17,4,3,14,2,0,0,0,0
COL,1960,0,0,6,3,0,10,3,0,0,0,1
COL,1964,6,0,18,1,2,12,0,0,0,0,1
COL,1968,5,17,0,0,33,12,0,0,0,0,3
COL,1972,8,17,7,12,13,14,2,0,0,0,2
COL,1976,8,0,5,3,10,14,2,2,0,0,0
COL,1980,7,17,0,0,4,0,0,0,0,0,0
COL,1984,8,0,7,16,3,9,5,0,0,0,0
COL,1988,19,0,17,5,2,7,3,0,4,0,0
COL,1992,6,19,6,5,4,11,4,0,6,0,0
COL,1996,18,0,9,4,8,16,5,0,2,0,0
COL,2000,12,3,7,5,8,11,3,0,2,0,3
COL,2004,13,4,13,4,6,11,9,0,2,7,2
COL,2008,15,1,12,7,12,15,10,2,1,10,5
COL,2012,31,23,10,3,6,21,8,2,3,10,3
COL,2016,34,37,16,8,7,16,9,1,15,10,4
COL,2020,27,4,13,5,6,11,3,0,4,1,3
COL,2024,19,20,11,9,2,19,4,2,6,10,3
COM,1996,4,0,0,0,0,0,0,0,0,0,0
COM,2000,2,0,0,0,0,0,0,0,0,0,0
COM,2004,2,0,0,0,0,0,1,0,0,0,0
COM,2008,2,0,0,0,1,0,0,0,0,0,0
COM,2012,2,0,0,0,1,0,0,0,0,0,0
COM,2016,2,0,0,0,2,0,0,0,0,0,0
COM,2020,2,0,1,0,0,0,0,0,0,0,0
COM,2024,1,0,0,0,2,0,0,2,0,0,0
CPV,1996,3,0,0,0,0,0,0,0,0,0,0
CPV,2000,2,0,0,0,0,0,0,0,0,0,0
CPV,2004,1,0,1,0,0,0,0,0,0,1,0
CPV,2008,1,0,0,0,0,0,0,0,0,1,0
CPV,2012,2,0,1,0,0,0,0,0,0,0,0
CPV,2016,2,0,2,0,0,0,0,0,0,1,0
CPV,2020,1,0,2,0,2,0,0,0,0,1,0
CPV,2024,1,0,4,0,2,0,0,0,0,0,0
CRC,1936,0,0,1,0,0,0,0,0,0,0,0
CRC,1964,0,0,2,0,0,0,0,0,0,0,0
CRC,1968,6,0,2,7,1,8,3,0,0,0,0
CRC,1972,1,0,1,2,0,0,0,0,0,0,0
CRC,1976,0,0,0,4,5,1,0,0,0,0,0
CRC,1980,0,16,3,10,8,0,0,0,0,0,0
CRC,1984,5,17,4,3,3,0,0,0,0,0,0
CRC,1988,4,0,2,1,25,0,1,0,0,0,0
CRC,1992,11,0,1,2,2,0,0,4,0,0,0
CRC,1996,2,0,2,0,4,1,0,2,0,0,2
CRC,2000,1,1,0,0,5,1,0,0,1,0,0
CRC,2004,0,14,2,1,2,2,0,0,0,0,0
CRC,2008,3,0,1,0,2,2,0,0,0,0,0
CRC,2012,4,0,2,0,2,2,0,0,1,0,0
CRC,2016,4,2,1,0,1,3,0,0,1,0,0
CRC,2020,3,0,2,0,2,3,0,0,3,5,0
CRC,2024,1,0,1,0,2,1,0,0,1,0,0
CRO,1992,2,19,2,7,0,0,0,15,1,0,0
CRO,1996,3,52,2,8,26,0,0,19,0,7,0
CRO,2000,18,38,1,3,25,0,1,22,0,0,0
CRO,2004,12,42,4,2,24,0,1,14,1,0,0
CRO,2008,10,52,4,8,22,4,0,17,0,8,0
CRO,2012,9,62,7,9,5,2,0,18,0,6,0
CRO,2016,10,43,7,10,4,2,1,11,0,4,1
CRO,2020,7,26,11,9,5,1,0,11,1,3,0
CRO,2024,9,39,7,5,5,1,0,14,0,5,0
CRT,1906,10,0,0,1,0,0,0,0,0,0,0
CUB,1900,0,0,2,0,0,0,0,0,0,0,0
CUB,1904,1,0,5,0,0,0,0,0,0,0,0
CUB,1924,0,0,10,0,0,0,0,3,0,0,0
CUB,1928,1,0,0,0,0,0,0,0,0,0,0
CUB,1932,0,0,0,0,0,0,0,0,3,0,0
CUB,1948,7,13,14,7,2,2,3,7,0,56,1
CUB,1952,13,12,2,3,2,0,1,3,0,21,0
CUB,1956,3,0,0,0,3,0,0,11,0,7,0
CUB,1960,3,0,3,0,2,0,1,2,0,10,0
CUB,1964,4,0,9,0,0,0,1,14,0,48,0
CUB,1968,32,23,37,8,9,14,5,11,0,84,4
CUB,1972,23,47,45,9,0,13,6,10,0,48,0
CUB,1976,38,60,45,5,0,9,9,14,0,14,0
CUB,1980,24,103,57,7,0,3,9,35,0,48,2
CUB,1992,38,55,47,7,4,5,8,12,20,0,0
CUB,1996,50,36,52,3,6,2,5,4,20,0,0
CUB,2000,36,55,63,13,16,5,5,19,39,14,6
CUB,2004,33,16,41,12,3,5,2,13,24,19,9
CUB,2008,48,16,41,7,2,3,6,17,25,0,6
CUB,2012,47,1,32,7,4,5,4,13,0,0,5
CUB,2016,41,16,31,14,2,4,2,14,2,17,0
CUB,2020,21,5,26,9,4,1,4,9,2,1,0
CUB,2024,21,5,21,7,2,1,1,7,1,0,3
CYP,1980,0,0,5,0,5,0,0,5,0,0,0
CYP,1984,5,0,2,4,0,1,0,0,0,0,0
CYP,1988,6,0,2,1,0,0,0,2,0,0,0
CYP,1992,6,0,3,3,3,0,0,2,0,2,0
CYP,1996,13,0,1,3,4,0,0,3,0,0,0
CYP,2000,12,0,0,3,7,0,0,2,0,0,0
CYP,2004,7,1,1,2,6,1,0,3,0,0,0
CYP,2008,6,0,0,4,3,0,1,4,0,0,0
CYP,2012,4,1,0,3,1,1,0,2,0,1,0
CYP,2016,8,0,0,2,2,1,0,2,0,6,0
CYP,2020,3,0,0,4,4,1,0,4,0,7,0
CYP,2024,4,0,2,1,2,1,0,4,0,9,0
CZE,1996,29,14,12,25,28,6,2,39,0,14,0
CZE,2000,27,36,8,16,17,13,1,28,4,11,1
CZE,2004,37,31,3,13,21,19,1,31,9,6,0
CZE,2008,30,32,3,19,16,16,1,26,7,8,0
CZE,2012,34,36,5,15,11,10,1,29,7,11,0
CZE,2016,26,21,6,9,19,12,1,30,5,6,0
CZE,2020,30,28,5,13,17,9,1,19,17,12,0
CZE,2024,31,23,13,20,10,11,1,24,10,6,0
DEN,1896,4,0,1,7,0,0,2,0,0,1,0
DEN,1900,6,0,1,25,1,0,0,0,3,0,0
DEN,1906,13,12,9,0,3,2,0,11,0,18,0
DEN,1908,13,13,27,19,11,0,0,0,0,24,0
DEN,1912,21,35,33,41,2,16,0,19,12,54,0
DEN,1920,35,30,52,56,0,12,5,1,4,45,6
DEN,1924,19,11,52,14,9,12,0,4,32,0,5
DEN,1928,14,13,35,0,8,10,1,15,25,0,1
DEN,1932,2,0,30,0,3,11,1,0,45,0,2
DEN,1936,13,16,39,8,30,17,0,36,12,0,2
DEN,1948,19,29,34,8,13,16,4,43,18,64,5
DEN,1952,11,11,30,7,15,17,3,41,8,56,2
DEN,1956,4,0,4,4,2,2,0,22,12,0,1
DEN,1960,9,24,10,7,4,8,0,36,9,0,2
DEN,1964,5,0,7,4,4,18,0,31,0,0,2
DEN,1968,6,0,5,8,8,19,0,27,1,19,0
DEN,1972,14,32,15,14,13,16,3,29,12,7,0
DEN,1976,3,13,4,9,4,14,1,18,8,7,0
DEN,1980,2,14,6,5,2,11,1,18,0,0,1
DEN,1984,3,14,1,4,7,18,1,20,6,0,0
DEN,1988,5,5,6,16,47,11,2,28,9,1,0
DEN,1992,3,31,4,13,29,12,2,39,11,0,0
DEN,1996,7,56,3,11,22,13,0,30,3,0,0
DEN,2000,4,41,2,8,18,11,0,27,13,0,0
DEN,2004,5,34,3,6,17,9,0,30,10,1,0
DEN,2008,3,27,2,3,22,20,0,22,8,1,0
DEN,2012,6,44,3,12,28,13,0,33,9,1,0
DEN,2016,8,42,1,4,27,15,0,33,13,0,0
DEN,2020,16,25,2,8,20,26,0,26,15,0,0
DEN,2024,4,49,4,6,16,33,0,33,16,0,0
DJI,1984,3,0,0,0,0,0,0,0,0,0,0
DJI,1988,5,0,0,0,0,0,0,1,0,0,0
DJI,1992,5,0,2,0,0,0,0,1,0,0,0
DJI,1996,3,0,0,0,0,0,0,2,0,0,0
DJI,2000,2,0,0,0,0,0,0,0,0,0,0
DJI,2008,2,0,0,0,0,0,0,0,0,0,0
DJI,2012,2,1,0,0,1,0,0,0,0,0,0
DJI,2016,6,0,1,0,1,0,0,0,0,0,0
DJI,2020,3,0,1,0,1,0,0,0,0,0,0
DJI,2024,4,0,1,0,2,0,0,0,0,0,0
DMA,1996,5,0,0,0,1,0,0,0,0,0,0
DMA,2000,2,0,0,0,2,0,0,0,0,0,0
DMA,2004,2,0,0,0,0,0,0,0,0,0,0
DMA,2008,2,0,0,0,0,0,0,0,0,0,0
DMA,2012,2,0,0,0,0,0,0,0,0,0,0
DMA,2016,2,0,0,0,0,0,0,0,0,0,0
DMA,2020,2,0,0,0,0,0,0,0,0,0,0
DMA,2024,2,0,0,0,2,0,0,0,0,0,0
DOM,1964,1,0,0,0,0,0,0,0,0,0,0
DOM,1968,15,0,4,3,0,0,2,0,0,0,0
DOM,1972,0,0,2,2,0,0,1,0,0,0,0
DOM,1976,3,0,6,0,0,0,2,0,0,0,0
DOM,1980,3,0,1,0,0,0,1,0,0,0,2
DOM,1984,6,0,10,0,4,0,0,1,0,0,3
DOM,1988,3,5,6,0,0,0,4,0,0,0,0
DOM,1992,0,0,11,0,0,0,1,0,20,0,0
DOM,1996,3,2,10,0,0,0,1,0,0,0,0
DOM,2000,2,0,8,0,1,0,2,0,0,0,0
DOM,2004,5,14,12,1,0,0,1,0,0,0,0
DOM,2008,7,6,10,1,1,0,1,1,0,0,0
DOM,2012,11,13,5,1,2,0,2,0,0,2,0
DOM,2016,14,1,6,2,2,1,3,0,1,0,0
DOM,2020,9,12,11,0,4,0,5,1,26,0,1
DOM,2024,12,31,8,1,2,0,3,0,1,3,3
ECU,1924,4,0,0,0,0,0,0,0,0,0,0
ECU,1968,1,0,4,0,7,8,0,0,0,21,0
ECU,1972,0,0,1,0,3,0,0,0,0,0,0
ECU,1976,0,0,3,0,4,0,0,0,0,0,1
ECU,1980,1,0,5,0,4,6,0,0,0,0,0
ECU,1984,5,0,3,5,0,0,1,0,1,0,0
ECU,1988,6,0,1,2,0,2,3,0,0,0,1
ECU,1992,7,1,1,2,2,2,0,0,0,0,0
ECU,1996,4,4,2,1,13,3,0,1,0,0,0
ECU,2000,3,0,2,1,4,0,1,0,0,0,0
ECU,2004,9,1,3,2,1,0,2,0,0,0,0
ECU,2008,12,1,7,1,2,1,2,0,0,0,0
ECU,2012,13,0,10,1,3,2,4,1,2,0,0
ECU,2016,18,0,9,1,3,2,3,2,2,0,0
ECU,2020,18,1,9,5,6,4,4,0,5,0,0
ECU,2024,20,1,8,4,3,2,3,0,6,0,0
EGY,1906,2,0,1,0,0,2,0,0,0,0,0
EGY,1920,4,11,4,0,0,0,1,0,0,2,0
EGY,1924,2,12,6,1,0,5,1,0,3,0,0
EGY,1928,0,16,22,0,0,0,2,0,0,0,3
EGY,1936,5,18,23,1,7,0,8,0,0,0,4
EGY,1948,3,31,43,0,10,0,8,1,0,64,6
EGY,1952,16,36,40,10,3,0,6,9,6,64,6
EGY,1956,0,0,0,0,0,0,0,0,6,0,0
EGY,1964,0,28,20,6,0,0,5,17,0,7,0
EGY,1968,0,11,18,2,0,0,3,0,0,0,1
EGY,1972,1,11,9,0,5,0,0,0,0,0,0
EGY,1976,0,21,3,0,0,0,2,0,0,0,0
EGY,1984,7,41,39,9,29,0,10,1,6,0,6
EGY,1988,4,15,16,2,10,0,5,0,7,0,0
EGY,1992,0,49,10,6,6,0,5,0,7,0,0
EGY,1996,0,16,7,2,6,0,1,1,0,0,0
EGY,2000,2,35,21,10,13,5,2,7,2,6,0
EGY,2004,2,44,34,9,5,0,5,2,3,0,0
EGY,2008,4,32,31,11,13,0,5,6,4,10,0
EGY,2012,7,27,42,9,13,0,8,8,4,14,0
EGY,2016,4,35,33,17,21,1,9,5,4,4,4
EGY,2020,4,56,40,23,19,1,0,6,18,25,3
EGY,2024,6,62,55,21,21,2,5,6,4,21,4
EOR,2020,7,1,18,1,2,2,1,1,2,0,0
EOR,2024,8,1,21,2,2,2,2,5,1,0,0
ERI,2000,3,0,0,0,0,0,0,0,0,0,0
ERI,2004,5,0,0,0,0,0,0,0,0,0,0
ERI,2008,11,0,0,0,0,0,0,0,0,0,0
ERI,2012,11,0,0,0,0,1,0,0,0,0,0
ERI,2016,11,0,0,0,0,1,0,0,0,0,0
ERI,2020,9,0,0,0,1,4,0,0,0,0,0
ERI,2024,8,0,0,0,2,2,0,0,0,0,0
ESA,1932,0,0,0,0,0,0,0,0,4,0,0
ESA,1968,15,18,0,10,48,8,2,3,0,0,0
ESA,1972,0,0,0,5,13,0,0,0,0,0,0
ESA,1984,6,0,4,1,4,0,0,0,0,0,0
ESA,1988,2,0,5,0,0,0,0,0,0,0,0
ESA,1992,2,0,1,0,3,0,0,0,0,0,0
ESA,1996,2,0,2,0,3,2,1,0,0,0,0
ESA,2000,2,0,1,3,2,1,1,0,0,0,0
ESA,2004,2,0,0,2,2,2,1,0,0,0,0
ESA,2008,2,1,2,2,2,3,1,1,0,0,0
ESA,2012,2,0,1,2,2,1,1,2,0,0,0
ESA,2016,2,0,1,1,4,0,1,1,0,0,0
ESA,2020,1,0,1,0,4,0,0,1,0,0,0
ESA,2024,0,1,1,3,2,0,0,1,1,0,0
ESP,1900,0,2,3,0,0,0,0,6,1,0,0
ESP,1920,24,39,0,45,3,0,0,0,0,0,0
ESP,1924,32,40,39,1,7,0,0,18,9,0,5
ESP,1928,18,39,24,0,6,1,0,6,12,0,0
ESP,1932,0,0,0,6,0,0,0,1,1,0,0
ESP,1948,10,22,8,7,15,0,0,5,17,0,0
ESP,1952,0,8,0,4,4,0,0,7,12,7,0
ESP,1956,0,0,0,0,0,0,0,0,12,0,0
ESP,1960,14,26,32,10,10,14,2,32,16,82,0
ESP,1964,8,14,5,5,20,8,0,1,6,0,0
ESP,1968,10,58,6,12,26,9,0,16,0,0,0
ESP,1972,14,56,7,11,15,10,1,13,7,26,2
ESP,1976,18,32,7,9,24,4,1,20,7,36,2
ESP,1980,25,68,8,10,26,0,0,29,6,36,3
ESP,1984,30,56,15,18,22,4,4,34,13,59,2
ESP,1988,37,62,28,18,29,15,6,44,17,59,2
ESP,1992,62,155,55,29,48,18,6,66,43,52,3
ESP,1996,62,91,26,11,31,25,1,55,23,54,5
ESP,2000,63,113,23,8,37,31,3,42,24,82,5
ESP,2004,60,121,17,10,37,32,2,47,14,79,4
ESP,2008,55,110,18,11,42,24,2,31,7,53,2
ESP,2012,46,130,12,14,40,19,2,22,12,40,2
ESP,2016,49,122,11,15,45,18,4,30,52,17,0
ESP,2020,57,166,16,8,32,16,4,40,30,58,2
ESP,2024,66,191,29,8,55,13,0,55,35,70,4
EST,1920,13,0,4,0,0,0,3,0,0,0,0
EST,1924,16,11,12,0,0,0,8,0,0,0,0
EST,1928,5,0,9,0,0,0,4,5,0,0,0
EST,1932,1,0,2,0,0,0,0,0,0,0,0
EST,1936,8,8,12,0,2,0,4,2,0,0,0
EST,1992,6,1,7,5,10,3,0,13,1,0,0
EST,1996,13,2,17,3,2,7,0,7,1,0,0
EST,2000,5,0,12,1,7,6,0,9,1,0,0
EST,2004,15,3,3,1,8,6,0,8,1,0,0
EST,2008,14,8,2,1,12,5,0,9,1,1,0
EST,2012,11,1,4,3,4,2,0,11,0,0,0
EST,2016,18,2,12,2,2,2,1,9,1,0,0
EST,2020,7,3,10,3,7,4,0,6,2,0,0
EST,2024,5,1,3,3,4,2,1,6,1,0,0
ETH,1956,22,0,0,0,0,8,0,0,0,0,0
ETH,1960,7,0,0,0,0,8,0,0,0,0,0
ETH,1964,8,0,3,0,0,8,0,0,0,0,0
ETH,1968,14,0,4,0,0,8,0,0,0,0,0
ETH,1972,26,0,6,0,0,8,0,0,0,0,0
ETH,1980,32,0,8,0,0,8,0,0,0,0,0
ETH,1992,17,0,0,0,0,7,0,0,0,0,0
ETH,1996,17,0,2,0,0,0,0,0,0,0,0
ETH,2000,25,0,2,0,0,0,0,0,0,0,0
ETH,2004,25,0,2,0,0,0,0,0,0,0,0
ETH,2008,29,0,0,0,0,0,0,0,0,0,0
ETH,2012,32,0,0,0,2,0,0,0,0,0,0
ETH,2016,35,0,0,0,2,1,0,0,0,0,0
ETH,2020,35,0,1,0,1,1,0,0,0,0,0
ETH,2024,34,0,0,0,1,0,0,0,0,0,0
EUN,1992,114,117,77,40,72,21,10,84,21,86,8
FIJ,1956,1,0,2,0,0,0,0,2,0,0,0
FIJ,1960,3,0,0,0,0,0,0,0,0,0,0
FIJ,1968,1,0,0,0,0,0,0,0,0,0,0
FIJ,1972,4,0,0,0,0,0,0,0,0,0,0
FIJ,1976,5,0,0,0,0,0,0,0,0,0,0
FIJ,1984,6,0,2,0,13,1,0,4,0,0,0
FIJ,1988,13,0,5,0,18,0,0,5,0,0,0
FIJ,1992,12,0,4,0,16,0,0,4,0,0,0
FIJ,1996,11,0,1,0,2,0,1,6,0,0,0
FIJ,2000,1,0,2,0,4,0,1,1,0,0,0
FIJ,2004,2,0,2,2,2,0,1,0,0,0,0
FIJ,2008,2,0,1,1,1,0,1,0,0,0,0
